place_id,place_name,category,short_description,full_description,address,latitude,longitude,opening_time,closing_time,closed_day,entry_fee,estimated_visit_duration,best_time_to_visit,family_friendly,child_friendly,senior_citizen_friendly,wheelchair_accessible,parking_available,washroom_available,food_allowed,photography_allowed,pets_allowed,crowd_level,budget_category,travel_mode,nearest_landmark,nearby_attractions,nearby_restaurants,tags,source,meta_id,History Score,Adventure Score,Family Score,Photography Score,Nature Score,Shopping Score,Food Score,Religious Score,Accessibility Score,Kids Score,Senior Score,Budget Score,Night Visit,Recommended Stay Time,Travel Difficulty,Popularity Score,Hidden Gem Score,police_station_name,nearest_hospital_name,fire_station_name
VNS001,Dashashwamedh Ghat,Ghat,The most famous and lively ghat on the River Ganges in Varanasi.,"Dashashwamedh Ghat is considered the main and oldest ghat in Varanasi, renowned for its grand evening Ganga Aarti ritual conducted daily by priests.","Dashashwamedh Ghat Rd, Bangali Tola, Varanasi, Uttar Pradesh 221001",25.3076,83.0104,00:00,23:59,,Free,2 hours,October to March (Evening for Aarti),Yes,Yes,Moderate,No,No,Yes,Yes,Yes,No,High,Free,"E-Rickshaw, Auto, Walking",Godowlia Crossing,"Kashi Vishwanath Temple, Rajendra Prasad Ghat, Manikarnika Ghat","Kashi Chat Bhandar, Deena Chat Bhandar, Blue Lassi","ghat, ganga aarti, spirituality, heritage, riverfront",UP Tourism Department / Official Municipal Records,META001,8,5,9,10,8,4,6,8,5,6,5,9,Yes,1.5 - 2 Hours,Moderate,9,2,Dashashwamedh Tourist Police Booth,Marwari Hospital,Chetganj Fire Station
VNS002,Kashi Vishwanath Temple,Temple,One of the twelve sacred Jyotirlingas dedicated to Lord Shiva.,"Located on the western bank of the Ganges, Kashi Vishwanath Temple is one of the holiest Hindu shrines, attracting millions of devotees annually.","Lahori Tola, Varanasi, Uttar Pradesh 221001",25.3109,83.0107,03:00,23:00,,Free (VIP darshan available at extra cost),2 to 3 hours,October to March (Early morning),Yes,Yes,Moderate,Yes,No,Yes,No,No,No,Very High,Free,"E-Rickshaw, Walking through Vishwanath Gali",Dashashwamedh Ghat / Godowlia,"Annapurna Temple, Manikarnika Ghat, Vishwanath Corridor","Awon Express, Blue Lassi Shop, Kashi Chat Bhandar","jyotirlinga, lord shiva, temple, pilgrimage, holy corridor",Kashi Vishwanath Temple Trust,META002,8,3,10,4,4,6,5,10,7,7,9,9,Yes,1 - 2 Hours,Moderate,10,1,Dashashwamedh Tourist Police Booth,Marwari Hospital,Chetganj Fire Station
VNS003,Manikarnika Ghat,Ghat,"The primary cremation ghat of Varanasi, steeped in sacred tradition.","Manikarnika Ghat is the historic center of Hindu cremation rites in Varanasi, where funeral pyres burn continuously 24 hours a day.","Near Kashi Vishwanath Corridor, Varanasi, Uttar Pradesh 221001",25.3108,83.0143,00:00,23:59,,Free,1 hour,October to March,Moderate,No,Moderate,No,No,No,No,No,No,High,Free,"Boat, Walking",Scindia Ghat / Kashi Vishwanath Temple,"Manikarnika Kund, Scindia Ghat, Lalita Ghat","Dolphin Restaurant, Brown Bread Bakery","cremation ghat, ritual, spiritual, hindu rites, sacred",UP Tourism Department,META003,8,4,8,10,8,6,8,9,5,7,7,10,No,1.5 - 2 Hours,Moderate,8,2,Chowk Police Station,SSP Gupta Hospital / Kabir Chaura Hospital,Chetganj Fire Station
VNS004,Assi Ghat,Ghat,"Southernmost major ghat known for morning yoga, Subah-e-Banaras, and cafes.","Assi Ghat is situated at the confluence of the Ganges and Assi rivers. It is famous for Subah-e-Banaras morning cultural programs, yoga, and vibrant student energy.","Assi Ghat, Shivala, Varanasi, Uttar Pradesh 221005",25.2882,82.9996,00:00,23:59,,Free,2 hours,October to March (Early morning 5:00 AM),Yes,Yes,Yes,Moderate,Yes,Yes,Yes,Yes,Yes,High,Free,"Auto, E-Rickshaw, Taxi",BHU Main Gate,"Tulsi Ghat, Ganga Mahal Ghat, BHU","Pizzeria Vaatika Cafe, Open Hand Cafe, Cafe Banaras","subah-e-banaras, yoga, ghat, sunrise, cultural performance",UP Tourism Department,META004,9,5,8,9,7,5,7,8,6,6,6,9,Yes,1.5 - 2 Hours,Moderate,8,2,Lanka Police Station,Sir Sunderlal Hospital & BHU Trauma Centre,Bhelupur Fire Station
VNS005,Sarnath Archaeological Site & Dhamek Stupa,Historical Site / Monument,The site where Lord Buddha delivered his first sermon after attaining enlightenment.,"Sarnath is a major Buddhist pilgrimage center featuring the massive 43.6-meter tall Dhamek Stupa, ancient monastery ruins, and Ashoka's pillar fragments.","Sarnath, Varanasi, Uttar Pradesh 221007",25.3812,83.0227,06:00,18:00,,"INR 25 (Indian), INR 300 (Foreigner)",2 to 3 hours,October to March,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Moderate,Budget,"Taxi, Auto, Bus",Sarnath Museum,"Sarnath Museum, Chaukhandi Stupa, Mulagandha Kuti Vihar","Highway Inn Restaurant, Sarnath Cafe","buddhism, stupa, ashoka pillar, heritage, pilgrimage",Archaeological Survey of India (ASI),META005,10,3,9,9,5,7,5,3,7,9,8,8,No,2 - 3 Hours,Easy,8,4,Sarnath Police Station,Pandeypur District Hospital,Chetganj Fire Station
VNS006,Sarnath Archaeological Museum,Museum,"Home to the famous Lion Capital of Ashoka, India's national emblem.","Established in 1910, Sarnath Museum houses a premier collection of Buddhist art, sculptures, and antiquities excavated from Sarnath.","Sarnath, Varanasi, Uttar Pradesh 221007",25.3805,83.0215,09:00,17:00,Friday,INR 5 (Free for under 15 yrs),1.5 hours,October to March,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Moderate,Budget,"Taxi, Auto",Dhamek Stupa,"Dhamek Stupa, Thai Temple Sarnath, Tibetan Temple","Buddha Garden Restaurant, Sarnath Refreshment","museum, ashoka lion capital, art, ancient sculpture, heritage",Archaeological Survey of India (ASI),META006,9,5,8,8,5,5,4,4,8,9,9,8,No,2 - 3 Hours,Easy,8,5,Sarnath Police Station,Pandeypur District Hospital,Chetganj Fire Station
VNS007,Banaras Hindu University (BHU),Educational / Heritage,"One of Asia's largest residential universities, founded by Pandit Madan Mohan Malaviya.","Spanning over 1,300 acres, BHU features sprawling green lawns, majestic Indo-Gothic architecture, Bharat Kala Bhavan museum, and the New Vishwanath Temple.","Banaras Hindu University, Lanka, Varanasi, Uttar Pradesh 221005",25.2677,82.9913,04:00,21:00,,Free,2 hours,October to March,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Moderate,Free,"Auto, Bicycle, E-Rickshaw",Lanka Gate,"New Vishwanath Temple, Bharat Kala Bhavan, Assi Ghat","VT Canteen, Pehalwan Lassi, Cold Coffee Lanka","university, green campus, architecture, education, bhu",Banaras Hindu University Official Website,META007,8,6,9,9,6,4,6,6,6,7,6,8,No,1 - 2 Hours,Easy,8,4,Lanka Police Station,Sir Sunderlal Hospital & BHU Trauma Centre,Bhelupur Fire Station
VNS008,New Vishwanath Temple (Shri Vishwanath Mandir / VT),Temple,A magnificent marble temple located inside the BHU campus with the tallest temple spire.,"Constructed with white marble and financed by the Birla family, this temple is open to people of all castes and religions, featuring Gita verses inscribed on its walls.","BHU Campus, Varanasi, Uttar Pradesh 221005",25.2657,82.9877,04:00,21:00,,Free,1 hour,October to March,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes (outside sanctuary),No,Moderate,Free,"Auto, E-Rickshaw, Taxi",BHU Main Gate / Lanka,"Bharat Kala Bhavan, Assi Ghat, Sankat Mochan Temple","VT Cold Coffee Shop, Vishwanath Cafe BHU","birla temple, marble architecture, bhu, temple, shiva",BHU Temple Board,META008,9,2,9,7,2,7,5,9,5,7,8,8,No,1 - 2 Hours,Moderate,7,7,Lanka Police Station,Sir Sunderlal Hospital & BHU Trauma Centre,Bhelupur Fire Station
VNS009,Ramnagar Fort,Fort / Museum,An 18th-century sandstone fort and residence of the Kashi Naresh (Maharaja of Banaras).,"Located on the eastern bank of the Ganges, Ramnagar Fort exhibits vintage cars, royal palanquins, ivory work, medieval armory, and astronomical clocks in its Saraswati Bhawan museum.","Ramnagar Fort Rd, Ramnagar, Varanasi, Uttar Pradesh 221008",25.2829,83.0238,10:00,17:00,,"INR 80 (Indian), INR 300 (Foreigner)",2 hours,October to March,Yes,Yes,Moderate,No,Yes,Yes,No,No (inside museum),No,Moderate,Budget,"Taxi, Auto, Pontoon Bridge / River Boat",Ramnagar Bridge,"Ramnagar Fort Museum, Chintamani Ganesh Temple","Shiv Prasad Ramnagar Lassi, Local Street Food","fort, heritage, royal museum, maharaja, architecture",UP Tourism Department,META009,10,4,8,9,6,7,4,5,7,9,8,7,No,2 - 3 Hours,Easy,8,3,Ramnagar Police Station,Ramnagar Government Hospital,Bhelupur Fire Station
VNS010,Sankat Mochan Hanuman Temple,Temple,"Revered temple dedicated to Lord Hanuman, established by saint Tulsidas.","Sankat Mochan Temple is one of the most sacred Hanuman temples in North India, famous for its daily prasad (besan ladoo) and annual classical music festival.","Sankat Mochan Rd, Saket Nagar, Nagwa, Varanasi, Uttar Pradesh 221005",25.2818,82.9972,05:00,22:00,,Free,1 hour,"Tuesdays & Saturdays, October to March",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,High,Free,"Auto, E-Rickshaw",BHU Campus Gate,"Tulsi Manas Mandir, Durga Kund Temple, Assi Ghat","Sankat Mochan Ladoo Stall, Annapurna Bhojanalaya","hanuman temple, tulsidas, devotion, music festival, spiritual",Sankat Mochan Temple Trust,META010,8,3,9,6,4,7,5,9,7,7,9,8,No,1 - 2 Hours,Moderate,6,7,Lanka Police Station,Sir Sunderlal Hospital & BHU Trauma Centre,Bhelupur Fire Station
VNS011,Tulsi Manas Mandir,Temple,Marble temple where Tulsidas composed the Ramcharitmanas.,"Built in 1964, this temple features scenes and verses from Ramcharitmanas engraved on white marble walls.","Durgakund Rd, Jawahar Nagar, Varanasi, UP 221005",25.2847,82.997,05:00,21:00,,Free,1 hour,October to March,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Moderate,Free,"Auto, E-Rickshaw",Durga Temple,"Durga Kund, Sankat Mochan Temple","Kashi Sweets, Local Snacks","ramcharitmanas, tulsidas, marble temple, ramayan",UP Tourism Department,META011,9,4,10,6,4,7,7,10,8,7,8,8,No,1 - 2 Hours,Moderate,7,6,Lanka Police Station,Sir Sunderlal Hospital & BHU Trauma Centre,Bhelupur Fire Station
VNS012,Durga Kund Temple (Durga Mandir),Temple,18th-century red sandstone temple dedicated to Goddess Durga.,"Built by a Bengali Maharani in Nagara architecture style, featuring an adjacent rectangular water tank (Durga Kund).","Durgakund, Varanasi, Uttar Pradesh 221005",25.2862,82.9981,05:00,22:00,,Free,45 mins,October to March (Navratri),Yes,Yes,Yes,Moderate,Yes,Yes,No,Yes,No,High,Free,"Auto, E-Rickshaw",Tulsi Manas Mandir,"Tulsi Manas Mandir, Sankat Mochan",Kashi Chat Bhandar Durgakund branch,"durga temple, nagara style, kund, navratri",UP Tourism Department,META012,9,2,10,6,4,6,5,10,5,7,9,8,No,1 - 2 Hours,Moderate,8,7,Lanka Police Station,Sir Sunderlal Hospital & BHU Trauma Centre,Bhelupur Fire Station
VNS013,Bharat Mata Mandir,Temple / Heritage,Unique temple worshiping a relief map of undivided India carved in marble.,"Inaugurated by Mahatma Gandhi in 1936, this temple contains no idol but a massive relief map of India.","Mahatma Gandhi Kashi Vidyapith Campus, Varanasi, UP 221002",25.3175,82.9892,07:00,19:00,,Free,45 mins,October to March,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Low,Free,"Auto, Taxi",Varanasi Junction Railway Station,"Cantt Station, Kashi Vidyapith","Ming Garden, Food Court Cantt","bharat mata, patriotic, marble map, mahatma gandhi",UP Tourism Department,META013,9,3,10,6,3,8,5,9,5,8,9,9,No,1 - 2 Hours,Moderate,6,7,Cantt Police Station,Hindustan Hospital / Railway Hospital,Chetganj Fire Station
VNS014,Kaal Bhairav Temple,Temple,"Ancient shrine dedicated to Kaal Bhairav, the Kotwal (guardian) of Varanasi.",It is believed that visitors must seek permission from Lord Kaal Bhairav before residing or visiting Varanasi.,"Golghar, Bhar traffic, Varanasi, Uttar Pradesh 221001",25.3188,83.0105,05:00,22:30,,Free,1 hour,October to March,Yes,Yes,Moderate,No,No,No,No,No,No,High,Free,"E-Rickshaw, Walking",Chowk Police Station,"Godowlia Market, Vishwanath Gali",Local Sweet Shops,"kaal bhairav, guardian deity, ancient temple, tantra",UP Tourism Department,META014,8,2,10,5,2,6,5,9,5,8,7,8,No,1 - 2 Hours,Moderate,8,6,Chowk Police Station,SSP Gupta Hospital / Kabir Chaura Hospital,Chetganj Fire Station
VNS015,Annapurna Temple,Temple,"Temple dedicated to Goddess Annapurna, the deity of food and nourishment.","Located close to Kashi Vishwanath, famous for its golden idol revealed during Annakoot festival.","Vishwanath Gali, Lahori Tola, Varanasi, UP 221001",25.3106,83.0104,04:00,22:00,,Free,45 mins,October to March (Annakoot),Yes,Yes,Moderate,No,No,No,No,No,No,High,Free,Walking,Kashi Vishwanath Temple,"Kashi Vishwanath, Dashashwamedh Ghat","Awon Express, Blue Lassi","annapurna, goddess of food, holy, gold idol",UP Tourism Department,META015,9,4,10,7,4,6,5,10,7,7,8,9,No,1 - 2 Hours,Moderate,7,5,Chowk Police Station,SSP Gupta Hospital / Kabir Chaura Hospital,Chetganj Fire Station
VNS016,Chaukhandi Stupa,Historical Site / Monument,Ancient Buddhist stupa marking the site where Lord Buddha met his first disciples.,An octagonal tower constructed during the Mughal period surmounts an older Gupta-era earthen stupa mound.,"Sarnath, Varanasi, Uttar Pradesh 221007",25.3736,83.0232,06:00,18:00,,"INR 25 (Indian), INR 300 (Foreigner)",45 mins,October to March,Yes,Yes,Yes,Moderate,Yes,Yes,No,Yes,No,Low,Budget,"Auto, Taxi",Sarnath Railway Station,"Dhamek Stupa, Sarnath Museum",Garden Cafe Sarnath,"chaukhandi stupa, sarnath, buddhist monument",Archaeological Survey of India (ASI),META016,9,3,9,9,7,5,5,5,8,9,9,8,No,2 - 3 Hours,Easy,9,5,Sarnath Police Station,Pandeypur District Hospital,Chetganj Fire Station
VNS017,Bharat Kala Bhavan Museum,Museum,University museum inside BHU housing rare miniature paintings and sculptures.,"Houses over 100,000 artifacts including textiles, Mughal miniatures, terracotta figures, and rare coins.","BHU Campus, Varanasi, Uttar Pradesh 221005",25.2671,82.9918,10:30,17:00,Sunday / University Holidays,"INR 20 (Indian), INR 300 (Foreigner)",1.5 hours,October to March,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Low,Budget,"Auto, E-Rickshaw",BHU Vishwanath Temple,"New Vishwanath Temple, BHU Law School",VT Canteen,"museum, bhu, miniature paintings, art collection",BHU Official Museum Board,META017,10,3,8,9,7,7,5,6,8,9,9,8,No,2 - 3 Hours,Easy,7,3,Cantt Police Station,Hindustan Hospital / Railway Hospital,Chetganj Fire Station
VNS018,Jantar Mantar Varanasi (Man Singh Observatory),Historical Site / Monument,18th-century astronomical observatory built by Maharaja Jai Singh II of Jaipur.,"Perched on top of Man Mahal Palace overlooking Man Mandir Ghat, featuring giant stone astronomical instruments.","Man Mandir Ghat, Dashashwamedh, Varanasi, UP 221001",25.3087,83.0116,09:00,17:00,,"INR 25 (Indian), INR 300 (Foreigner)",1 hour,October to March,Yes,Yes,Moderate,No,No,No,No,Yes,No,Low,Budget,Walking from Dashashwamedh,"Dashashwamedh Ghat, Rajendra Prasad Ghat",Dolphin Restaurant,"jantar mantar, observatory, astronomy, architecture",Archaeological Survey of India (ASI),,META018,10,4,8,8,5,5,6,4,8,8,8,8,No,2 - 3 Hours,Easy,9,4,Dashashwamedh Tourist Police Booth,Marwari Hospital,Chetganj Fire Station
VNS019,Namo Ghat (Khidkiya Ghat),Ghat,Modern redeveloped ghat with iconic Namaste hand sculptures and helipad facility.,"Features clean paved promenades, water sports, open-air amphitheater, and accessible design.","Rajghat, Varanasi, Uttar Pradesh 221001",25.3283,83.0312,00:00,23:59,,Free,1.5 hours,October to March (Evening),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,High,Free,"Auto, E-Rickshaw, Taxi",Malviya Bridge,"Rajghat, Kashi Railway Station","Namo Ghat Food Court, Cafe Riverview","namo ghat, modern ghat, riverfront, namaste sculpture",UP Tourism Department,META019,9,3,8,10,8,5,7,9,5,8,5,10,Yes,1.5 - 2 Hours,Easy,7,6,Cantt Police Station,Hindustan Hospital / Railway Hospital,Chetganj Fire Station
VNS020,Subah-e-Banaras at Assi Ghat,Cultural Event / Experience,Early morning cultural spiritual program at Assi Ghat with Vedic chanting and morning Aarti.,"Starts before sunrise with Ganga Aarti, Yajna, Vedic chanting, classical music and yoga sessions.","Assi Ghat, Varanasi, Uttar Pradesh 221005",25.2882,82.9996,05:00,07:00,,Free,2 hours,October to March (5:00 AM),Yes,Yes,Yes,Moderate,Yes,Yes,Yes,Yes,No,High,Free,"Auto, E-Rickshaw",Assi Crossing,"Assi Ghat, Tulsi Ghat",Pizzeria Vaatika Cafe,"subah-e-banaras, yoga, classical music, aarti",Subah-e-Banaras Committee,META020,7,5,8,7,7,5,7,8,8,7,8,8,Yes,1 - 2 Hours,Easy,7,5,Lanka Police Station,Sir Sunderlal Hospital & BHU Trauma Centre,Bhelupur Fire Station
VNS021,Scindia Ghat & Submerged Shiva Temple,Ghat / Temple,Historic ghat featuring a partially submerged 150-year-old Lord Shiva temple.,Known for its tranquil environment and the heavily tilted Ratneshwar Mahadev Temple sinking into river mud.,"Scindia Ghat, Bangali Tola, Varanasi, UP 221001",25.312,83.015,00:00,23:59,,Free,45 mins,October to March,Yes,Yes,Moderate,No,No,No,No,Yes,No,Moderate,Free,"Walking, Boat",Manikarnika Ghat,"Manikarnika Ghat, Panchganga Ghat","Blue Lassi, Brown Bread Bakery","scindia ghat, submerged temple, leaning temple, photography",UP Tourism Department,META021,8,3,9,9,9,6,8,8,5,6,6,9,No,1.5 - 2 Hours,Moderate,6,8,Chowk Police Station,SSP Gupta Hospital / Kabir Chaura Hospital,Chetganj Fire Station
VNS022,Darbhanga Ghat & BrijRama Palace,Ghat / Heritage,Photogenic ghat topped by a grand 19th-century palace built by the Royal Family of Darbhanga.,Features imposing heritage stone architecture now operating as a luxury heritage hotel.,"Darbhanga Ghat, Dashashwamedh, Varanasi, UP 221001",25.3065,83.01,00:00,23:59,,Free,45 mins,October to March,Yes,Yes,Moderate,No,No,No,No,Yes,No,Moderate,Free,"Walking, Boat",Dashashwamedh Ghat,"Munshi Ghat, Dashashwamedh Ghat",The Darbhanga Restaurant,"darbhanga ghat, heritage palace, riverfront, architecture",UP Tourism Department,META022,8,4,9,10,8,4,6,8,6,6,6,10,No,1.5 - 2 Hours,Moderate,6,8,Dashashwamedh Tourist Police Booth,Marwari Hospital,Chetganj Fire Station
