place_id,place_name,category,short_description,full_description,address,latitude,longitude,opening_time,closing_time,closed_day,entry_fee,estimated_visit_duration,best_time_to_visit,family_friendly,child_friendly,senior_citizen_friendly,wheelchair_accessible,parking_available,washroom_available,food_allowed,photography_allowed,pets_allowed,crowd_level,budget_category,travel_mode,nearest_landmark,nearby_attractions,nearby_restaurants,tags,source,meta_id,History Score,Adventure Score,Family Score,Photography Score,Nature Score,Shopping Score,Food Score,Religious Score,Accessibility Score,Kids Score,Senior Score,Budget Score,Night Visit,Recommended Stay Time,Travel Difficulty,Popularity Score,Hidden Gem Score,police_station_name,nearest_hospital_name,fire_station_name
VNS023,Chet Singh Ghat,Ghat / Fort,Fortified ghat witness to the historical battle between Maharaja Chet Singh and the British.,Features majestic stone walls and towers along the riverbank with rich historical significance.,"Shivala, Varanasi, Uttar Pradesh 221001",25.2936,83.0035,00:00,23:59,,Free,45 mins,October to March,Yes,Yes,Moderate,No,No,No,No,Yes,No,Low,Free,"Walking, Boat",Shivala Ghat,"Niranjani Ghat, Assi Ghat",Shivala Food Joints,"chet singh, fort ghat, history, war history",UP Tourism Department,META023,8,4,8,10,7,5,6,8,6,7,6,10,No,1.5 - 2 Hours,Moderate,6,7,Lanka Police Station,Sir Sunderlal Hospital & BHU Trauma Centre,Bhelupur Fire Station
VNS024,Panchganga Ghat,Ghat,Sacred ghat at the mythic confluence of five holy rivers.,Home to the massive Alamgir Mosque and numerous shrines where saint Tailang Swami lived.,"Panchganga Ghat, Varanasi, Uttar Pradesh 221001",25.3156,83.0181,00:00,23:59,,Free,1 hour,October to March,Yes,Yes,Low,No,No,No,No,Yes,No,Moderate,Free,"Walking, Boat",Scindia Ghat,"Alamgir Mosque, Bindu Madhav Temple",Local Tea Stalls,"panchganga, confluence, five rivers, heritage",UP Tourism Department,META024,9,3,8,10,7,5,7,8,6,7,7,9,No,1.5 - 2 Hours,Moderate,6,8,Chowk Police Station,SSP Gupta Hospital / Kabir Chaura Hospital,Chetganj Fire Station
VNS025,Mulagandha Kuti Vihar,Temple,Modern Buddhist monastery built by the Maha Bodhi Society in Sarnath.,"Features silver casket containing Buddha relics, wall paintings by Japanese artist Kosetsu Nosu, and a sacred Bodhi tree.","Sarnath, Varanasi, Uttar Pradesh 221007",25.3818,83.0245,06:00,18:00,,Free,1 hour,October to March,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Moderate,Free,"Auto, Taxi",Dhamek Stupa,"Dhamek Stupa, Deer Park",Sarnath Restaurant,"buddhist monastery, maha bodhi, relics, frescos",Maha Bodhi Society of India,META025,9,3,10,5,3,6,5,9,5,7,9,9,No,1 - 2 Hours,Moderate,6,7,Sarnath Police Station,Pandeypur District Hospital,Chetganj Fire Station
VNS026,Tibetan Temple Sarnath,Temple,Vibrant Tibetan Buddhist monastery built in traditional Tibetan architectural style.,"Features a large statue of Shakyamuni Buddha, traditional Tibetan prayer wheels, and intricate thangka paintings.","Sarnath, Varanasi, Uttar Pradesh 221007",25.38,83.02,06:00,18:00,,Free,45 mins,October to March,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Low,Free,"Auto, Taxi",Sarnath Museum,"Sarnath Museum, Thai Temple",Local Tibetan Noodle Stalls,"tibetan temple, thangka, prayer wheels, sarnath",Tibetan Monastery Board,META026,8,3,10,6,3,8,5,10,8,7,9,9,No,1 - 2 Hours,Moderate,7,5,Sarnath Police Station,Pandeypur District Hospital,Chetganj Fire Station
VNS027,Thai Temple Sarnath,Temple / Monastery,Beautiful monastery constructed by Thai Buddhist devotees surrounded by gardens.,Known for its massive 80-foot tall standing Buddha statue set amidst lush peaceful gardens.,"Sarnath, Varanasi, Uttar Pradesh 221007",25.3825,83.0195,06:00,18:00,,Free,45 mins,October to March,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Low,Free,"Auto, Taxi",Sarnath Museum,"Sarnath Museum, Tibetan Temple",Garden Cafe Sarnath,"thai temple, standing buddha, sarnath, quiet garden",Thai Monastery Board,META027,8,4,10,4,3,7,6,9,6,8,7,9,No,1 - 2 Hours,Moderate,6,6,Sarnath Police Station,Pandeypur District Hospital,Chetganj Fire Station
VNS028,Japanese Temple Sarnath,Temple,Minimalist Nichiren Shu Buddhist temple reflecting Zen design principles.,"Features a wooden pagoda structure, quiet meditation hall, and tranquil Japanese garden elements.","Sarnath, Varanasi, Uttar Pradesh 221007",25.383,83.021,07:00,17:00,,Free,30 mins,October to March,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Low,Free,"Auto, Taxi",Sarnath Museum,"Thai Temple, Dhamek Stupa",Local Sarnath Cafes,"japanese temple, zen, sarnath, wooden architecture",Nichiren Shu Monastery Board,META028,9,2,9,5,3,8,7,10,5,7,8,8,No,1 - 2 Hours,Moderate,8,5,Sarnath Police Station,Pandeypur District Hospital,Chetganj Fire Station
VNS029,Godowlia Market,Shopping / Market,"The bustling commercial heart of Varanasi selling local handicrafts, paan, and silk.","A vibrant shopping hub filled with shops offering Banarasi sarees, wooden toys, brassware, and famous local street foods.","Godowlia Crossing, Varanasi, Uttar Pradesh 221001",25.309,83.008,10:00,22:00,,Free,2 hours,October to March,Yes,Yes,Moderate,No,No,No,No,Yes,No,Very High,Free,"Walking, E-Rickshaw",Dashashwamedh Ghat,"Vishwanath Gali, Dashashwamedh Ghat","Kashi Chat Bhandar, Deena Chat Bhandar","shopping, banarasi silk, street food, godowlia",Varanasi Municipal Corporation,META029,7,5,8,8,3,10,10,4,5,6,4,6,Yes,2 - 3 Hours,Moderate,9,4,Dashashwamedh Tourist Police Booth,Marwari Hospital,Chetganj Fire Station
VNS030,Vishwanath Gali,Shopping / Market,Historic narrow lane leading to Kashi Vishwanath Temple packed with traditional shops.,"Famous for wooden toys, religious beads (Rudraksha), brass idols, sweets, and Banarasi silk materials.","Vishwanath Gali, Godowlia, Varanasi, UP 221001",25.31,83.009,06:00,22:00,,Free,1.5 hours,October to March,Yes,Yes,Low,No,No,No,No,Yes,No,Very High,Free,Walking,Godowlia Crossing,"Kashi Vishwanath Temple, Annapurna Temple","Blue Lassi Shop, Local Sweet Shops","gali, market, rudraksha, brass, banarasi shopping",Varanasi Municipal Corporation,META030,8,4,9,8,2,10,8,5,4,6,5,6,Yes,2 - 3 Hours,Moderate,9,4,Chowk Police Station,SSP Gupta Hospital / Kabir Chaura Hospital,Chetganj Fire Station
VNS031,Thatheri Bazaar,Shopping / Market,"Ancient market famous for traditional brass, copper metalsmiths, and Banarasi sweets.","Renowned for hand-beaten metal utensils, antiques, and historic sweet shops serving Malaiyo in winter.","Thatheri Bazaar, Chowk, Varanasi, UP 221001",25.314,83.0095,10:00,20:00,Sunday,Free,1.5 hours,November to February (for Malaiyo),Yes,Yes,Low,No,No,No,No,Yes,No,High,Free,"Walking, E-Rickshaw",Chowk Police Station,"Kaal Bhairav Temple, Chowk","Shree Rajbandhu Sweets, Blue Lassi","thatheri bazaar, brassware, malaiyo, heritage market",Varanasi Municipal Corporation,META031,6,5,8,9,1,10,9,5,3,5,4,8,Yes,2 - 3 Hours,Moderate,8,2,Chowk Police Station,SSP Gupta Hospital / Kabir Chaura Hospital,Chetganj Fire Station
VNS032,Varanasi Silk Weaving Village (Peoplani / Madanpura),Cultural / Craft Village,Heritage artisan neighborhood producing handloom Banarasi silk sarees.,"Witness master weavers working on traditional jacquard pit looms, crafting exquisite zari-brocaded silk sarees.","Madanpura / Peoplani, Varanasi, Uttar Pradesh 221001",25.302,83.004,10:00,18:00,Friday,Free,2 hours,October to March,Yes,Yes,Moderate,No,No,No,No,Yes,No,Moderate,Free,"Walking, Auto",Madanpura Crossing,"Godowlia Market, Dashashwamedh Ghat",Local Tea Stalls & Kebabs,"silk weaving, handloom, zari, banarasi saree, craft",Textile Ministry / UP Handloom Board,META032,7,4,9,8,3,10,8,3,3,7,4,8,Yes,2 - 3 Hours,Moderate,9,4,Dashashwamedh Tourist Police Booth,Marwari Hospital,Chetganj Fire Station
VNS033,Kedar Ghat,Ghat,Serene ghat popular for its vibrant striped steps and Ketareswar Shiva temple.,"Known for South Indian pilgrims, traditional step murals, and the ancient Ketareswar Jyotirlinga shrine.","Kedar Ghat, Bangali Tola, Varanasi, UP 221001",25.298,83.006,00:00,23:59,,Free,45 mins,October to March,Yes,Yes,Moderate,No,No,No,No,Yes,No,Moderate,Free,"Walking, Boat",Lali Ghat,"Harishchandra Ghat, Chauki Ghat",South Indian Cafe Kedar Ghat,"kedar ghat, south indian temple, step murals, shiva",UP Tourism Department,META033,8,3,9,9,7,5,8,8,4,7,7,10,No,1.5 - 2 Hours,Moderate,5,8,Dashashwamedh Tourist Police Booth,Marwari Hospital,Chetganj Fire Station
VNS034,Harishchandra Ghat,Ghat,One of the two electric and traditional cremation ghats of Varanasi.,"Named after King Harishchandra, known for royal cremations and modern electric crematorium services.","Harishchandra Ghat, Varanasi, Uttar Pradesh 221001",25.2965,83.005,00:00,23:59,,Free,45 mins,October to March,Moderate,No,Moderate,No,No,No,No,No,No,Moderate,Free,"Walking, Boat",Kedar Ghat,"Kedar Ghat, Lali Ghat",Local Tea Stalls,"cremation ghat, king harishchandra, electric crematorium",UP Tourism Department,META034,8,3,9,9,8,6,8,8,4,6,6,10,No,1.5 - 2 Hours,Moderate,6,6,Dashashwamedh Tourist Police Booth,Marwari Hospital,Chetganj Fire Station
VNS035,Tulsi Ghat,Ghat,Ghat associated with saint Tulsidas who wrote Ramcharitmanas here.,"Contains the house where Tulsidas lived, his wooden clogs (paduka), and an ancient Hanuman shrine.","Tulsi Ghat, Shivala, Varanasi, Uttar Pradesh 221005",25.2895,83.001,00:00,23:59,,Free,45 mins,October to March,Yes,Yes,Moderate,No,No,No,No,Yes,No,Moderate,Free,"Walking, Auto",Assi Ghat,"Assi Ghat, Bhadaini Ghat",Pizzeria Vaatika Cafe,"tulsidas, ramcharitmanas, tulsi ghat, heritage",UP Tourism Department,META035,9,4,8,10,7,6,6,9,6,8,5,10,No,1.5 - 2 Hours,Moderate,5,8,Lanka Police Station,Sir Sunderlal Hospital & BHU Trauma Centre,Bhelupur Fire Station
VNS036,Alamgir Mosque (Beniyabagh / Panchganga),Historical Site / Religious,17th-century Mughal mosque constructed by Emperor Aurangzeb overlooking Panchganga Ghat.,Displays a blend of Hindu-Islamic architecture perched at the highest point along the riverfront.,"Panchganga Ghat, Varanasi, Uttar Pradesh 221001",25.316,83.0185,05:00,20:00,,Free,45 mins,October to March,Yes,Yes,Low,No,No,No,No,Yes,No,Moderate,Free,"Walking, Boat",Panchganga Ghat,"Panchganga Ghat, Bindu Madhav Temple",Local Street Vendors,"alamgir mosque, aurangzeb, mughal architecture, riverfront",ASI / UP Tourism,META036,9,3,8,8,6,5,6,6,8,8,8,8,No,2 - 3 Hours,Easy,9,5,Chowk Police Station,SSP Gupta Hospital / Kabir Chaura Hospital,Chetganj Fire Station
VNS037,Lalita Ghat & Nepali Temple,Ghat / Temple,Ghat hosting the wooden Pagoda-style Nepali Temple (Kathwala Temple).,"Features exquisite wood carvings inspired by Pashupatinath Temple in Kathmandu, overlooking the Ganges.","Lalita Ghat, Lahori Tola, Varanasi, UP 221001",25.31,83.0135,00:00,23:59,,Free,45 mins,October to March,Yes,Yes,Moderate,No,No,No,No,Yes,No,Moderate,Free,"Walking, Boat",Kashi Vishwanath Corridor,"Kashi Vishwanath Corridor, Manikarnika Ghat",Dolphin Restaurant,"nepali temple, wood carving, kathwala temple, lalita ghat",UP Tourism Department,META037,9,5,9,10,8,5,8,8,6,8,6,10,No,1.5 - 2 Hours,Moderate,6,6,Dashashwamedh Tourist Police Booth,Marwari Hospital,Chetganj Fire Station
VNS038,Tilbhandeshwar Mahadev Temple,Temple,Ancient temple dedicated to Lord Shiva featuring a self-manifested (Swayambhu) Lingam.,Legend holds that the Shiva Lingam grows by a sesame seed size ('til') every year during Makar Sankranti.,"Pandey Haveli, Varanasi, Uttar Pradesh 221001",25.3015,83.0012,04:30,22:00,,Free,45 mins,October to March (Makar Sankranti),Yes,Yes,Yes,Moderate,No,No,No,Yes,No,Moderate,Free,"Auto, E-Rickshaw, Walking",Madanpura,"Kedareswar Temple, Sonarpura",Local Snack Shops,"tilbhandeshwar, shiva lingam, swayambhu, festival",UP Tourism Department,META038,9,4,9,7,3,7,5,10,7,7,9,9,No,1 - 2 Hours,Moderate,8,6,Dashashwamedh Tourist Police Booth,Marwari Hospital,Chetganj Fire Station
VNS039,Vishalakshi Gauri Temple,Temple,One of the 51 sacred Shakti Peethas located near Meer Ghat.,"Dedicated to Goddess Vishalakshi (wide-eyed goddess), attracting tantric and Shakti devotees nationwide.","Mir Ghat, Bangali Tola, Varanasi, UP 221001",25.3082,83.0122,05:00,21:00,,Free,45 mins,October to March (Navratri),Yes,Yes,Low,No,No,No,No,No,No,High,Free,Walking,Dashashwamedh Ghat,"Dashashwamedh Ghat, Kashi Vishwanath","Blue Lassi, Local Sweet Shops","shakti peeth, goddess vishalakshi, sacred shrine",Temple Trust Board,META039,9,4,10,7,4,7,6,10,5,7,7,9,No,1 - 2 Hours,Moderate,7,7,Dashashwamedh Tourist Police Booth,Marwari Hospital,Chetganj Fire Station
VNS040,Ganges River Boat Ride (Central Ghats),Experience / Water Activity,Iconic boat trip between Assi Ghat and Rajghat offer panoramic views of Varanasi.,"Available in rowboats, motorboats, and luxury wooden cruises (e.g., Alaknanda Cruise) especially during sunrise/sunset.","Central Ghats (Assi / Dashashwamedh Ghats), Varanasi, UP 221001",25.3076,83.0104,05:00,20:00,Monsoon Season (Restricted during high floods),INR 200 - INR 1000 per person,1.5 hours,October to March (Sunrise/Sunset),Yes,Yes,Moderate,No,No,No,No,Yes,No,High,Mid-range,Dashashwamedh Ghat Boat Jetty,"Dashashwamedh Ghat, Manikarnika Ghat",Floating Boat Cafes / Riverside Dining,"boat ride, ganga sunrise, river cruise, luxury cruise",Varanasi Waterways Authority,,META040,8,6,9,7,7,5,6,7,8,7,8,7,Yes,1 - 2 Hours,Easy,9,5,Dashashwamedh Tourist Police Booth,Marwari Hospital,Chetganj Fire Station
VNS041,Sheetla Ghat,Ghat,"Ghat dedicated to Goddess Sheetla, associated with healing and health.",A tranquil extension of Dashashwamedh Ghat where devotees seek blessings for good health.,"Sheetla Ghat, Dashashwamedh, Varanasi, UP 221001",25.307,83.0102,00:00,23:59,,Free,30 mins,October to March,Yes,Yes,Moderate,No,No,No,No,Yes,No,Moderate,Free,Walking,Dashashwamedh Ghat,"Dashashwamedh Ghat, Ahilyabai Ghat",Kashi Chat Bhandar,"sheetla ghat, goddess sheetla, health rituals",UP Tourism Department,META041,8,4,8,10,8,4,7,9,6,8,6,9,No,1.5 - 2 Hours,Moderate,5,8,Dashashwamedh Tourist Police Booth,Marwari Hospital,Chetganj Fire Station
VNS042,Ahilyabai Ghat,Ghat,First ghat rebuilt by Queen Ahilyabai Holkar of Indore in 1778.,Historic riverfront featuring classic Maratha architecture and clean stone stairs.,"Ahilyabai Ghat, Varanasi, Uttar Pradesh 221001",25.3068,83.0101,00:00,23:59,,Free,30 mins,October to March,Yes,Yes,Moderate,No,No,No,No,Yes,No,Moderate,Free,Walking,Dashashwamedh Ghat,"Dashashwamedh Ghat, Munshi Ghat",Godowlia Food Joints,"ahilyabai holkar, maratha architecture, ghat history",UP Tourism Department,META042,8,5,8,10,7,6,7,9,4,8,7,9,No,1.5 - 2 Hours,Moderate,6,7,Dashashwamedh Tourist Police Booth,Marwari Hospital,Chetganj Fire Station
VNS043,Munshi Ghat,Ghat,Architecturally striking ghat constructed by Sridhara Narayana Munshi.,Features majestic archways and palatial facade flowing directly into Darbhanga Ghat.,"Munshi Ghat, Dashashwamedh, Varanasi, UP 221001",25.3062,83.0098,00:00,23:59,,Free,30 mins,October to March,Yes,Yes,Moderate,No,No,No,No,Yes,No,Moderate,Free,Walking,Darbhanga Ghat,"Darbhanga Ghat, Dashashwamedh Ghat",BrijRama Palace Restaurant,"munshi ghat, architecture, palatial ghat, photography",UP Tourism Department,META043,8,4,8,10,8,5,6,9,5,6,7,10,No,1.5 - 2 Hours,Moderate,5,8,Dashashwamedh Tourist Police Booth,Marwari Hospital,Chetganj Fire Station
VNS044,Bhonsale Ghat,Ghat,Ghat constructed by the Maratha Bhonsale family of Nagpur in 1780.,"Known for its massive stone masonry, small temple spires, and quiet riverfront atmosphere.","Bhonsale Ghat, Varanasi, Uttar Pradesh 221001",25.313,83.016,00:00,23:59,,Free,30 mins,October to March,Yes,Yes,Low,No,No,No,No,Yes,No,Low,Free,"Walking, Boat",Panchganga Ghat,"Ganesh Ghat, Manikarnika Ghat",Local Tea Stalls,"maratha, bhonsale, heritage ghat, stone architecture",UP Tourism Department,META044,9,4,8,10,9,6,6,8,6,7,7,9,No,1.5 - 2 Hours,Moderate,7,6,Chowk Police Station,SSP Gupta Hospital / Kabir Chaura Hospital,Chetganj Fire Station
VNS045,Trilochan Ghat,Ghat,Ancient holy ghat named after the three-eyed form of Lord Shiva.,Revered for taking holy baths during religious festivals like Shivratri and Chhath Puja.,"Trilochan Ghat, Varanasi, Uttar Pradesh 221001",25.321,83.023,00:00,23:59,,Free,45 mins,October to March,Yes,Yes,Low,No,No,No,No,Yes,No,Low,Free,"Walking, Boat",Gai Ghat,"Gai Ghat, Rajghat",Local Food Stalls,"trilochan, shiva, holy bath, quiet ghat",UP Tourism Department,META045,9,4,8,10,8,6,7,8,4,8,7,10,No,1.5 - 2 Hours,Moderate,6,8,Chowk Police Station,SSP Gupta Hospital / Kabir Chaura Hospital,Chetganj Fire Station
VNS046,Manikarnika Kund,Sacred Tank / Heritage,Sacred rectangular water tank adjacent to Manikarnika Ghat.,"According to myth, Lord Vishnu dug this pond with his chakra, and Lord Shiva dropped his earring here.","Manikarnika Ghat, Varanasi, Uttar Pradesh 221001",25.311,83.0142,00:00,23:59,,Free,30 mins,October to March,Yes,Yes,Low,No,No,No,No,Yes,No,High,Free,Walking,Manikarnika Ghat,"Manikarnika Ghat, Scindia Ghat",Brown Bread Bakery,"manikarnika kund, vishnu chakra, sacred pond, myth",UP Tourism Department,META046,7,4,8,8,6,5,7,8,6,7,8,8,No,1 - 2 Hours,Easy,8,6,Chowk Police Station,SSP Gupta Hospital / Kabir Chaura Hospital,Chetganj Fire Station
VNS047,Markandeya Mahadev Temple (Kaethi),Temple / Day Trip,"Ancient temple at the confluence of Ganges and Gomti rivers, 30 km from city.",Associated with Rishi Markandeya who conquered death through Lord Shiva's devotion.,"Kaethi, Ghazipur Highway, Varanasi District, UP 221116",25.485,83.181,05:00,21:00,,Free,2 hours,October to March,Yes,Yes,Yes,Moderate,Yes,Yes,No,Yes,No,Moderate,Free,"Taxi, Private Car, Bus",Kaethi Railway Station,Gomti Ganges Confluence,Local Highway Dhabas,"markandeya, shiva, gomti confluence, day trip",UP Tourism Department,META047,8,2,9,5,3,6,6,10,8,7,7,9,No,1 - 2 Hours,Moderate,7,5,Cantt Police Station,Hindustan Hospital / Railway Hospital,Chetganj Fire Station
VNS048,Mrigadayavan Zoo / Deer Park Sarnath,Park / Wildlife,Peaceful deer park attached to the Sarnath archaeological complex.,Preserves the historical deer park environment where Buddha delivered his first sermon to five disciples.,"Sarnath, Varanasi, Uttar Pradesh 221007",25.3815,83.0255,09:00,17:00,Monday,"INR 20 (Indian), INR 100 (Foreigner)",1 hour,October to March,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Moderate,Budget,"Auto, Taxi",Dhamek Stupa,"Dhamek Stupa, Mulagandha Kuti Vihar",Sarnath Food Stalls,"deer park, mrigadayavan, sarnath, nature",UP Forest Department,META048,7,6,7,7,6,6,5,6,8,7,6,8,No,1 - 2 Hours,Easy,9,6,Sarnath Police Station,Pandeypur District Hospital,Chetganj Fire Station
VNS049,Batuk Bhairav Temple,Temple,Spiritual shrine dedicated to the child form of Lord Bhairav.,Popular among tantric practitioners and devotees seeking protection from negative energies.,"Kamachha, Bhelupur, Varanasi, Uttar Pradesh 221010",25.305,82.992,05:00,22:00,,Free,45 mins,October to March,Yes,Yes,Yes,Moderate,Yes,Yes,No,Yes,No,Moderate,Free,"Auto, E-Rickshaw",Bhelupur Crossing,"Durga Kund, Kamachha",Kamachha Snack Corner,"batuk bhairav, child bhairav, temple, tantra",Temple Trust Board,META049,9,3,9,6,4,6,6,10,5,7,7,8,No,1 - 2 Hours,Moderate,6,5,Lanka Police Station,Sir Sunderlal Hospital & BHU Trauma Centre,Bhelupur Fire Station
VNS050,Chintamani Ganesh Temple,Temple,Historic temple near Ramnagar Fort dedicated to Lord Ganesha.,Devotees visit this shrine to seek relief from worries ('Chinta') before starting new ventures.,"Ramnagar, Varanasi, Uttar Pradesh 221008",25.281,83.027,05:00,21:00,,Free,45 mins,October to March,Yes,Yes,Yes,Moderate,Yes,Yes,No,Yes,No,Low,Free,"Auto, Taxi",Ramnagar Fort,"Ramnagar Fort, Riverfront",Ramnagar Lassi Shops,"ganesha temple, chintamani, ramnagar, spiritual",UP Tourism Department,META050,8,2,10,7,2,7,6,10,5,8,8,9,No,1 - 2 Hours,Moderate,8,6,Ramnagar Police Station,Ramnagar Government Hospital,Bhelupur Fire Station
